,Air quality,,,,,,,,
,Frequency: Annual,,,,,,,,
,,,,,,,,,
,Time period,Time period,Time period,2018,2019,2020,2021,2022,
,Specification,EU Norm,,,,,,,
,Pollution,-,,,,,,,
,·  sulphur dioxide (SO2) (in µg/m³),350,,30,52.7,26,28,15,
,·  nitrogen dioxide (NO2) (in µg/m³),40,,42,44,35,34,36,
,"·  nitrogen oxides (NOx=NO+NO2, in rural area) (in µg/m³)",30,,16,16,13,11,13,
,·  ozone (O3) (in µg/m³),-,,220,207,172,164,169,
,·  carbon monoxide (CO) (in µg/m³),10000,,999,"1,101",980,"1,081",916,
,·  benzene (C6H6) (in µg/m³),5,,0.4,0.4,0.6,0.8,0.7,
,"·  particulate matter (PM2.5, <2.5 µm) (in µg/m³)",25,,9,7,9,7,7,
,"·  particulate matter (PM10, <10 µm) (in µg/m³)",40,,21,21,27,19,20,
,"·  particulate matter (PM10, <10 µm) (in µg/m³)",50,,78,66,90,90,78,
,"·  particulate matter (PM10, <10 µm) (in days)",35,,8,5,7,8,9,
,·  lead (Pb) (in µg/m³),0.5,,0.023,0.025,0.012,0.018,0.015,
,·  arsenic (As) (in ng/m³),6,,3.6,3.9,0.7,0.7,0.7,
,·  cadmium (Cd) (in ng/m³),5,,0.4,0.3,0.3,0.3,0.3,
,·  nickel (Ni) (in ng/m³),20,,9.4,11.3,3.2,2.2,2.5,
,·  benzo(a)pyrene (BaP) (in ng/m³),1,,0.3,0.2,0.2,0.2,0.2,
,,,,,,,,,
,© Terms & conditions,,,,,,,,Air quality
